job_id,title,company,requirements,preferred,division,category,filtered_division,requirements_preferred
321,[SE/정규직] 이동통신사 서비스운영 (안양/명학역),㈜네오플러스,"초대졸이상, Linux","AWS, 리눅스마스터, Shell Script, DB, Oracle",[SE/정규직] 서비스운영 ( 1명 ),"서버관리, 시스템운영","백엔드 개발자, 시스템 엔지니어, 네트워크 엔지니어","초대졸이상, Linux, AWS, 리눅스마스터, Shell Script, DB, Oracle"
322,[KSM그룹] IT 부문 채용,㈜케이에스엠,"초대졸이상, 경력 5년 이상, 경력 6년 이하, 네트워크, 서버, CS, 컴퓨터공학, Windows, Linux 서버, 정보처리기사, CCNA, CCNP, 리눅스마스터 1급","경력 5년 이상, Windows, Linux 서버, 정보처리기사, CCNA, CCNP, 리눅스마스터 1급, CS",IT관리_네트워크,"SI개발, 서버관리, 클라이언트, HTTP","백엔드 개발자, 앱 개발자, 시스템 엔지니어, 소프트웨어 개발자, 게임 개발자","초대졸이상, 경력 5년 이상, 경력 6년 이하, 네트워크, 서버, CS, 컴퓨터공학, Windows, Linux 서버, 정보처리기사, CCNA, CCNP, 리눅스마스터 1급"
325,[Product Center] Backend Engineer(신입/채용) 채용,㈜솔트룩스,"대졸이상, CS, AI, ML, Java, Spring Boot, Python, FastAPI, MySQL, PostgreSQL, RDBMS, Docker, LLM, AI Agent, RAG, OCR","대졸이상, CS, AI, ML, 컴퓨터공학, Redis, NoSQL",Backend Engineer( 1명 ),,,"대졸이상, CS, AI, ML, Java, Spring Boot, Python, FastAPI, MySQL, PostgreSQL, RDBMS, Docker, LLM, AI Agent, RAG, OCR, 컴퓨터공학, Redis, NoSQL"
326,[에코마케팅]백엔드 개발자(Java) 인턴/신입 채용,㈜에코마케팅,"Java, Spring Boot, MySQL, NoSQL, MongoDB, Redis, AI, 에이전트, API, Kubernetes, Docker, 컨테이너, AWS","커뮤니케이션, 컴퓨터 공학, API, 시스템, 백엔드, 클라우드, GCP",백엔드 개발자(Java),"광고기획, 온라인광고, 광고디자인",,"Java, Spring Boot, MySQL, NoSQL, MongoDB, Redis, AI, 에이전트, API, Kubernetes, Docker, 컨테이너, AWS, 커뮤니케이션, 컴퓨터 공학, 시스템, 백엔드, 클라우드, GCP"
327,[KG이니시스] VAN개발팀 정규직 채용,㈜케이지이니시스,"대졸이상, 경력 3년 이하, 커뮤니케이션, C, Linux, 분석","정보처리기사, RDBMS, Oracle, MySQL, SQL, Java, JavaScript",VAN개발팀,"소셜커머스, 쇼핑몰, 전자상거래, B2B, 서버관리, 클라이언트, 핀테크, HTTP, SI개발","백엔드 개발자, 앱 개발자, 시스템 엔지니어, 보안 엔지니어, 소프트웨어 개발자, 게임 개발자","대졸이상, 경력 3년 이하, 커뮤니케이션, C, Linux, 분석, 정보처리기사, RDBMS, Oracle, MySQL, SQL, Java, JavaScript"
328,[고려아연계열/엑시스아이티] Application 개발 인턴 채용,엑시스아이티㈜,"대졸이상, C#, 데이터베이스, SQL, Oracle","전산학, 컴퓨터공학, C#, AI, ML, ERP, Oracle, SAP","Application(Web, Mobile) 개발자","SM, 인터페이스, JavaScript, SI개발, 솔루션, SI, 서버관리, 어플리케이션개발, SI개발, web, ERP, 소프트웨어개발자, ERP, SAP, 프론트엔드개발자, Application, 클라이언트, 소프트웨어개발, API, Mobile","백엔드 개발자, 프론트엔드 개발자, 앱 개발자, 시스템 엔지니어, 소프트웨어 개발자, 게임 개발자","대졸이상, C#, 데이터베이스, SQL, Oracle, 전산학, 컴퓨터공학, AI, ML, ERP, SAP"
329,국책과제 및 개발업무 담당 정직원 채용,㈜브이원텍,"초대졸이상, 경력 1년 이상","대졸이상, 문서작성, CAM, OpenCV, MIL, AI, PyTorch, TensorFlow, 컴퓨터 비전 알고리즘, 컴퓨터공학, 인공지능",국책과제 및 개발업무 담당,"3D VISION, 국책, 알고리즘",,"초대졸이상, 경력 1년 이상, 대졸이상, 문서작성, CAM, OpenCV, MIL, AI, PyTorch, TensorFlow, 컴퓨터 비전 알고리즘, 컴퓨터공학, 인공지능"
330,전산팀 채용 (전산장비/서버 관리),능원금속공업㈜,"학력무관, 경력 8년 이하, 운전가능자","전산, 서버","전산팀
(전산장비/서버관리)","금속, 서버관리, 시스템운영, 네트워크관리, 서버관리, 금속가공, 주조","백엔드 개발자, 시스템 엔지니어, 네트워크 엔지니어, 보안 엔지니어, 클라우드 엔지니어","학력무관, 경력 8년 이하, 운전가능자, 전산, 서버"
331,㈜MX로보틱스 Unreal / Unity 3D 개발자 채용,㈜엠엑스로보틱스,"컴퓨터, C++, C#","데이터, 시각화, 물류, 스마트팩토리","Unreal, Unity3D 개발자 개발자( ○명 )","기계, 기계설계, 자동화설비, 클라이언트, SI개발, 3D설계","백엔드 개발자, 앱 개발자, 시스템 엔지니어, 소프트웨어 개발자, 게임 개발자","컴퓨터, C++, C#, 데이터, 시각화, 물류, 스마트팩토리"
332,[2026년 부산지사 게임QA 장애인 특별채용],㈜넥슨네트웍스,"커뮤니케이션, 장애인, 고용촉진지원금 대상자, 로그","컴퓨터, 소프트웨어, 하드웨어, PC, 모바일, 웹",게임QA,"게임기획, 게임소프트웨어, 게임운영관리, 모바일앱게임, 베타테스터, 웹게임, 캐주얼게임, 콘솔게임, Flash게임, Java게임, RPG, 서버관리, 클라이언트, SI개발, GUI, 인터페이스, 시스템분석, 시스템운영, 서버관리, 시스템분석, 시스템설계, SI개발, 검증, 웹마스터, 테스터","백엔드 개발자, 프론트엔드 개발자, 앱 개발자, 시스템 엔지니어, 네트워크 엔지니어, 소프트웨어 개발자, 게임 개발자, 하드웨어 개발자, 웹 퍼블리셔, QA","커뮤니케이션, 장애인, 고용촉진지원금 대상자, 로그, 컴퓨터, 소프트웨어, 하드웨어, PC, 모바일, 웹"
