job_id,company,position,requirements,preferred
310318,에이티씨아이,"시니어 백엔드 엔지니어 (Django, FastAPI, Python)","Python 백엔드 개발 경험 (신입의 경우 관련 프로젝트 경험)
Django 프레임워크 혹은 FastAPI에 대한 이해와 활용 능력
RESTful API 설계 및 구현 경험
Git을 활용한 버전 관리 및 협업 경험
관계형 데이터베이스(PostgreSQL 등) 기본 지식
문제 해결 능력과 새로운 기술에 대한 학습 의지
팀원들과 효과적으로 소통하고 협업할 수 있는 능력","AI 도구(CursorAI, GitHub Copilot 등)를 활용한 개발 경험
빠른 릴리즈 사이클과 애자일 개발 방식에 익숙한 분
Django, FastAPI 기반 실서비스 개발 경험
Docker, Kubernetes 환경에서의 개발 및 운영 경험
GitLab, Jenkins 등 DevOps 파이프라인 사용 경험
성능 이슈 진단 및 대규모 리팩토링 경험
마이크로서비스 구조 이해 및 분산 시스템 설계 경험
코드 리뷰, 문서화, 테스트 작성 등 개발 문화에 익숙한 분"
286058,바카티오(Vacatio),[인턴] Backend Engineer,"* 제품의 본질을 깊이 이해하고 사용자 경험 개선에 몰입한 경험이 있는 분
* 복잡한 인프라·아키텍처 이슈를 직접 해결한 실전 경험이 있는 분
* 여러 요구 속에서도 핵심 우선순위를 분별하고 끝까지 안정성을 확보한 분
* 팀 차원의 개발 생산성을 높이는 데 기여한 경험이 있는 분","* 진심을 다해 일할 수 있는 분이면 좋습니다.
* 안 되는 이유를 찾기보다 일단 실행하는 분이면 더 좋습니다.
* 우선순위에 기반해 중요한 한 가지 목표에 집중할 수 있는 분이면 더 좋습니다."
279939,바카티오(Vacatio),Backend Engineer,"* 제품의 본질을 깊이 이해하고 사용자 경험 개선에 몰입한 경험이 있는 분
* 복잡한 인프라·아키텍처 이슈를 직접 해결한 실전 경험이 있는 분
* 여러 요구 속에서도 핵심 우선순위를 분별하고 끝까지 안정성을 확보한 분
* 팀 차원의 개발 생산성을 높이는 데 기여한 경험이 있는 분
* 최소 6개월 이상의 현업 경험이 있는 분","* 진심을 다해 일할 수 있는 분이면 좋습니다.
* 안 되는 이유를 찾기보다 일단 실행하는 분이면 더 좋습니다.
* 우선순위에 기반해 중요한 한 가지 목표에 집중할 수 있는 분이면 더 좋습니다."
279935,바카티오(Vacatio),Frontend Engineer,"* 사용자 문제에 진정성 있게 몰입하고 경험을 개선한 경험이 있는 분
* 아이디어를 실행으로 옮겨 프로토타입서비스화까지 해본 분
* 성능 최적화와 품질 개선을 통해 UI를 눈에 띄게 발전시킨 경험이 있는 분
* AI 도구(예. Cursor)를 활용해 개발 효율을 극대화한 경험이 있는 분
* 팀의 프론트엔드 문화와 퍼포먼스를 함께 끌어올린 경험이 있는 분
* 최소 6개월 이상의 현업 경험이 있는 분","* 진심을 다해 일할 수 있는 분이면 좋습니다.
* 안 되는 이유를 찾기보다 일단 실행하는 분이면 더 좋습니다.
* 우선순위에 기반해 중요한 한 가지 목표에 집중할 수 있는 분이면 더 좋습니다."
231640,뉴로다임,파이썬 프로그램 개발자,"• 신입 및 경력 : 프로그래밍 관련 학과 대학교 졸업 및 프로그래밍 경력 3년 이상
• 코딩 능력 상급
• Python 능숙자
• 직급/직책 : 면접 후 결정",• 컴퓨터 공학 관련 학과
257589,문토,풀스택 개발자,"• 새로운 개발 언어, 기술, 환경에 거부감 없이 유연하게 적응하시는 분
• 개발자로서 자기계발 노력을 계속하시는 분
• Node.js등의 Nodejs 기반 Framework 경험, MVC 이해도가 있으신 분 
• TypeScript 기반의 객체지향 프로그래밍 (OOP) 개발 경험이 있으신 분
• DB 사용이 능숙하신 분 
• 다양한 직군의 동료들과 원활한 의사소통이 가능하신 분","• 컴퓨터공학 및 관련 전공을 하신 분
• 알고리즘 및 데이터 구조에 대한 깊은 이해가 있으신 분
• 웹팩, Parcel, Vite 등의 번들러에 익숙하신 분
• AWS클라우드와 Docker등 DevOps에 경험이 있으신 분.
• 서버 아키텍처에 대한 풍부한 지식 및 경험을 지니신 분
• 스타트업 인턴 경험이 있으신 분 
• 대학 졸업자 또는 졸업예정자이신 분"
360178,피에프씨테크놀로지스,[인턴] ML Engineer,"저희는 이런 분을 찾고 있어요
• Python 기반의 데이터 분석 라이브러리와 머신러닝/딥러닝 알고리즘에 대한 이해가 탄탄한 분
• 금융, 특히 여신 시장의 문제를 데이터와 기술로 해결하는 것에 큰 흥미와 탐구 정신을 가진 분
• 고객의 신용 생애주기를 파악하기 위해, 시계열 데이터를 다룰 수 있는 분
• 동료들과의 적극적인 소통과 협업을 통해 함께 성장하고 싶은 분","이런 경험을 가진 분이면 더 좋아요
• 금융/커머스 등 실제 산업의 정형 데이터를 다루어 의미 있는 결과를 만들어 본 경험이 있는 분
• Kaggle과 같은 데이터 분석 경진대회 참여 또는 개인/팀 프로젝트를 통해 모델링 전 과정 경험이 있는 분
• 하고 싶은 일이 있으면, 도전도 좌절도 마다하지 않는 분
• ICPC, Google Codejam, SCPC등 프로그래밍 경진 대회에서 좋은 결과를 낸 경험이 있는 분"
362772,유에스소프트,RFID 주니어 개발자 (3년 이하),"[이런 분과 함께하고 싶어요 | 자격요건]

• 신입 또는 3년 이하의 주니어 개발자로서 프로그래밍의 기초가 탄탄하신 분
• C# 언어에 대한 기본 문법을 이해하고 있으며, 객체지향 프로그래밍에 관심이 많으신 분
• Oracle, MSSQL, PostgreSQL 중 최소 하나 이상의 데이터베이스 기초 지식(CRUD, 기본 Join 등)을 보유하신 분
• REST API의 개념을 알고 있으며, 프론트-백엔드 간의 데이터 통신 구조를 이해하고 활용할 수 있는 분
• 정해진 기술에 안주하지 않고, 새로운 도메인과 기술을 습득하는 데 두려움이 없는 분
• 내가 작성한 코드가 현장에 미치는 영향을 인지하고, 끝까지 책임지고 문제를 해결하려는 태도와 끈기를 가지신 분","[이런 분이면 더 좋아요! | 우대사항]

• C#, .NET 환경 외에도 Java, React Native 등을 활용한 웹/앱 개발 프로젝트 경험이 있으신 분
• 복잡한 데이터 요구사항을 해결하기 위해 직접 SQL 쿼리를 작성하고 최적화해 본 경험이 있으신 분
• PDA, 산업용 태블릿 등 현장 단말기 스펙에 맞춘 애플리케이션 개발 환경을 경험해 보신 분
• 평상시에 RFID 기술, 물류 인프라, 또는 패션 SCM 산업의 비즈니스 흐름에 높은 관심이나 유관 경험이 있으신 분"
363602,팀엘리시움,[전문연구요원] 디지털 헬스케어 스타트업 AI/Computer Vision 연구원,"• Pytorch를 사용한 개발(학습/개선/비교 평가) 경험
• 데이터를 하나하나 확인하고, 필요한 경우 직접 수정할 수 있는 업무 이해력
• 이미지에 대한 기본 지식
• 새로운 문제에 대한 분석 및 해결 능력","• 원활한 커뮤니케이션 능력을 보유하고 계신 분
• 문제 정의, 데이터 수집, 레이블링, 학습, 배포까지 전 과정을 혼자서 해보신 분
• 딥러닝 과제, 프로젝트를 수행해본 경험을 가지신 분
• 3D 비전에 대한 지식을 가지신 분"
304781,에너자이(ENERZAi),(병역특례 가능) AI 최적화 Researcher,"• 학부 4학년 이상
• 해외 여행에 결격 사유가 없으신 분
• Python 프로젝트 개발 경험이 있으신 분
• 딥러닝 프레임워크 (Pytorch, Tensorflow 등) 사용 경험이 있으신 분
• 병역특례 지원 가능
    - 산업기능요원, 전문연구요원 지원 가능하며, 이력서에 별도 표기하여 제출 부탁드립니다. (Ex: 산업기능요원 보충역 편입, 전문연구요원 전직 등)","• vTune 등의 profiler를 이용하여 소프트웨어 최적화를 해보신 분
• 컴퓨터 아키텍쳐 관련 지식이 풍부하신 분
• 딥러닝 모델 경량화 및 추론 가속화 기법에 관한 경험이 있으신 분
• 관련 학회 및 저널 게재 경력자
• 관련 전공 석사, 박사 학위 보유 시 경력 인정"
